Rank,Team,GP,Won,Lost,Tied[c],Pct.,First NFL season,Division
1,Dallas Cowboys,981,562,413,6 (0),0.576,1960,NFC East
2,Green Bay Packers,"1,435",800,598,38 (8),0.572,1921,NFC North
3,Baltimore Ravens,451,256,194,1,0.569,1996,AFC North
4,Chicago Bears,"1,469",793,634,42 (1),0.556,1920,NFC North
5,New England Patriots,983,541,433,9 (0),0.555,1960,AFC East
6,Miami Dolphins,899,496,399,4 (1),0.554,1966,AFC East
7,Kansas City Chiefs,983,532,439,12 (4),0.548,1960,AFC West
8,Minnesota Vikings,969,523,435,11 (4),0.546,1961,NFC North
9,San Francisco 49ers[b],"1,101",586,501,14 (3),0.539,1950,NFC West
10,Pittsburgh Steelers,"1,271",671,578,22 (4),0.537,1933,AFC North
11,New York Giants,"1,404",721,649,34 (4),0.526,1925,NFC East
12,Indianapolis Colts[d],"1,065",556,501,8 (2),0.526,1953,AFC South
13,Denver Broncos,983,508,465,10 (4),0.522,1960,AFC West
14,Las Vegas Raiders,983,505,467,11 (2),0.52,1960,AFC West
15,Seattle Seahawks,759,392,366,1,0.517,1976,NFC West
16,Los Angeles Rams,"1,234",614,599,21 (3),0.506,1937,NFC West
17,Los Angeles Chargers,983,483,489,11 (2),0.497,1960,AFC West
18,Philadelphia Eagles,"1,287",624,636,27 (7),0.495,1933,NFC East
19,Washington Commanders,"1,301",629,643,29 (3),0.495,1932,NFC East
20,Cleveland Browns[b][e],"1,053",512,530,11 (4),0.491,1950,AFC North
21,Tennessee Titans,983,476,501,6 (0),0.487,1960,AFC South
22,Buffalo Bills,982,473,501,8 (1),0.486,1960,AFC East
23,New Orleans Saints,870,412,468,5 (1),0.468,1967,NFC South
24,Carolina Panthers,467,214,252,1,0.459,1995,NFC South
25,Cincinnati Bengals,869,394,471,5 (4),0.456,1968,AFC North
26,Detroit Lions,"1,332",591,707,34 (5),0.455,1930,NFC North
27,New York Jets,983,428,547,8 (2),0.439,1960,AFC East
28,Atlanta Falcons,899,390,503,6 (2),0.437,1966,NFC South
29,Houston Texans,355,152,202,1,0.43,2002,AFC South
30,Jacksonville Jaguars,467,198,269,0,0.424,1995,AFC South
31,Arizona Cardinals,"1,429",585,803,41 (6),0.422,1920,NFC West
32,Tampa Bay Buccaneers,759,308,450,1,0.406,1976,NFC South
