,Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,total_revenue
0,1,2023-11-24,CUST001,Male,34,BEAUTY,3,50,150,150
1,2,2023-02-27,CUST002,Female,26,CLOTHING,2,500,1000,1000
2,3,2023-01-13,CUST003,Male,50,ELECTRONICS,1,30,30,30
3,4,2023-05-21,CUST004,Male,37,CLOTHING,1,500,500,500
4,5,2023-05-06,CUST005,Male,30,BEAUTY,2,50,100,100
5,6,2023-04-25,CUST006,Female,45,BEAUTY,1,30,30,30
6,7,2023-03-13,CUST007,Male,46,CLOTHING,2,25,50,50
7,8,2023-02-22,CUST008,Male,30,ELECTRONICS,4,25,100,100
8,9,2023-12-13,CUST009,Male,63,ELECTRONICS,2,300,600,600
9,10,2023-10-07,CUST010,Female,52,CLOTHING,4,50,200,200
10,11,2023-02-14,CUST011,Male,23,CLOTHING,2,50,100,100
11,12,2023-10-30,CUST012,Male,35,BEAUTY,3,25,75,75
12,13,2023-08-05,CUST013,Male,22,ELECTRONICS,3,500,1500,1500
13,14,2023-01-17,CUST014,Male,64,CLOTHING,4,30,120,120
14,15,2023-01-16,CUST015,Female,42,ELECTRONICS,4,500,2000,2000
15,16,2023-02-17,CUST016,Male,19,CLOTHING,3,500,1500,1500
16,17,2023-04-22,CUST017,Female,27,CLOTHING,4,25,100,100
17,18,2023-04-30,CUST018,Female,47,ELECTRONICS,2,25,50,50
18,19,2023-09-16,CUST019,Female,62,CLOTHING,2,25,50,50
19,20,2023-11-05,CUST020,Male,22,CLOTHING,3,300,900,900
20,21,2023-01-14,CUST021,Female,50,BEAUTY,1,500,500,500
21,22,2023-10-15,CUST022,Male,18,CLOTHING,2,50,100,100
22,23,2023-04-12,CUST023,Female,35,CLOTHING,4,30,120,120
23,24,2023-11-29,CUST024,Female,49,CLOTHING,1,300,300,300
24,25,2023-12-26,CUST025,Female,64,BEAUTY,1,50,50,50
25,26,2023-10-07,CUST026,Female,28,ELECTRONICS,2,500,1000,1000
26,27,2023-08-03,CUST027,Female,38,BEAUTY,2,25,50,50
27,28,2023-04-23,CUST028,Female,43,BEAUTY,1,500,500,500
28,29,2023-08-18,CUST029,Female,42,ELECTRONICS,1,30,30,30
29,30,2023-10-29,CUST030,Female,39,BEAUTY,3,300,900,900
30,31,2023-05-23,CUST031,Male,44,ELECTRONICS,4,300,1200,1200
31,32,2023-01-04,CUST032,Male,30,BEAUTY,3,30,90,90
32,33,2023-03-23,CUST033,Female,50,ELECTRONICS,2,50,100,100
33,34,2023-12-24,CUST034,Female,51,CLOTHING,3,50,150,150
34,35,2023-08-05,CUST035,Female,58,BEAUTY,3,300,900,900
35,36,2023-06-24,CUST036,Male,52,BEAUTY,3,300,900,900
36,37,2023-05-23,CUST037,Female,18,BEAUTY,3,25,75,75
37,38,2023-03-21,CUST038,Male,38,BEAUTY,4,50,200,200
38,39,2023-04-21,CUST039,Male,23,CLOTHING,4,30,120,120
39,40,2023-06-22,CUST040,Male,45,BEAUTY,1,50,50,50
40,41,2023-02-22,CUST041,Male,34,CLOTHING,2,25,50,50
41,42,2023-02-17,CUST042,Male,22,CLOTHING,3,300,900,900
42,43,2023-07-14,CUST043,Female,48,CLOTHING,1,300,300,300
43,44,2023-02-19,CUST044,Female,22,CLOTHING,1,25,25,25
44,45,2023-07-03,CUST045,Female,55,ELECTRONICS,1,30,30,30
45,46,2023-06-26,CUST046,Female,20,ELECTRONICS,4,300,1200,1200
46,47,2023-11-06,CUST047,Female,40,BEAUTY,3,500,1500,1500
47,48,2023-05-16,CUST048,Male,54,ELECTRONICS,3,300,900,900
48,49,2023-01-23,CUST049,Female,54,ELECTRONICS,2,500,1000,1000
49,50,2023-08-24,CUST050,Female,27,BEAUTY,3,25,75,75
50,51,2023-10-02,CUST051,Male,27,BEAUTY,3,25,75,75
51,52,2023-03-05,CUST052,Female,36,BEAUTY,1,300,300,300
52,53,2023-07-13,CUST053,Male,34,ELECTRONICS,2,50,100,100
53,54,2023-02-10,CUST054,Female,38,ELECTRONICS,3,500,1500,1500
54,55,2023-10-10,CUST055,Male,31,BEAUTY,4,30,120,120
55,56,2023-05-31,CUST056,Female,26,CLOTHING,3,300,900,900
56,57,2023-11-18,CUST057,Female,63,BEAUTY,1,30,30,30
57,58,2023-11-13,CUST058,Male,18,CLOTHING,4,300,1200,1200
58,59,2023-07-05,CUST059,Male,62,CLOTHING,1,50,50,50
59,60,2023-10-23,CUST060,Male,30,BEAUTY,3,50,150,150
60,61,2023-04-09,CUST061,Male,21,BEAUTY,4,50,200,200
61,62,2023-12-27,CUST062,Male,18,BEAUTY,2,50,100,100
62,63,2023-02-05,CUST063,Male,57,ELECTRONICS,2,25,50,50
63,64,2023-01-24,CUST064,Male,49,CLOTHING,4,25,100,100
64,65,2023-12-05,CUST065,Male,51,ELECTRONICS,4,500,2000,2000
65,66,2023-04-27,CUST066,Female,45,ELECTRONICS,1,30,30,30
66,67,2023-05-29,CUST067,Female,48,BEAUTY,4,300,1200,1200
67,68,2023-02-10,CUST068,Male,25,ELECTRONICS,1,300,300,300
68,69,2023-04-30,CUST069,Female,56,BEAUTY,3,25,75,75
69,70,2023-02-21,CUST070,Female,43,CLOTHING,1,300,300,300
70,71,2023-07-14,CUST071,Female,51,BEAUTY,4,25,100,100
71,72,2023-05-23,CUST072,Female,20,ELECTRONICS,4,500,2000,2000
72,73,2023-08-21,CUST073,Male,29,ELECTRONICS,3,30,90,90
73,74,2023-11-22,CUST074,Female,18,BEAUTY,4,500,2000,2000
74,75,2023-07-06,CUST075,Male,61,BEAUTY,4,50,200,200
75,76,2023-03-25,CUST076,Female,22,ELECTRONICS,2,50,100,100
76,77,2023-07-09,CUST077,Female,47,CLOTHING,2,50,100,100
77,78,2023-07-01,CUST078,Female,47,CLOTHING,3,500,1500,1500
78,79,2023-04-18,CUST079,Male,34,BEAUTY,1,300,300,300
79,80,2023-12-10,CUST080,Female,64,CLOTHING,2,30,60,60
80,81,2023-05-17,CUST081,Male,40,ELECTRONICS,1,50,50,50
81,82,2023-12-26,CUST082,Female,32,BEAUTY,4,50,200,200
82,83,2023-12-16,CUST083,Male,54,ELECTRONICS,2,50,100,100
83,84,2023-11-28,CUST084,Female,38,ELECTRONICS,3,30,90,90
84,85,2023-02-06,CUST085,Male,31,CLOTHING,3,50,150,150
85,86,2023-11-08,CUST086,Male,19,BEAUTY,3,30,90,90
86,87,2023-11-22,CUST087,Female,28,BEAUTY,2,50,100,100
87,88,2023-03-29,CUST088,Male,56,CLOTHING,1,500,500,500
88,89,2023-10-01,CUST089,Female,55,ELECTRONICS,4,500,2000,2000
89,90,2023-05-06,CUST090,Female,51,ELECTRONICS,1,30,30,30
90,91,2023-03-25,CUST091,Female,55,ELECTRONICS,1,500,500,500
91,92,2023-08-25,CUST092,Female,51,ELECTRONICS,4,30,120,120
92,93,2023-07-14,CUST093,Female,35,BEAUTY,4,500,2000,2000
93,94,2023-05-19,CUST094,Female,47,BEAUTY,2,500,1000,1000
94,95,2023-11-24,CUST095,Female,32,CLOTHING,2,30,60,60
95,96,2023-12-19,CUST096,Female,44,CLOTHING,2,300,600,600
96,97,2023-10-13,CUST097,Female,51,BEAUTY,2,500,1000,1000
97,98,2023-04-23,CUST098,Female,55,BEAUTY,2,50,100,100
98,99,2023-12-17,CUST099,Female,50,ELECTRONICS,4,300,1200,1200
99,100,2023-06-16,CUST100,Male,41,ELECTRONICS,1,30,30,30
100,101,2023-01-29,CUST101,Male,32,CLOTHING,2,300,600,600
101,102,2023-04-28,CUST102,Female,47,BEAUTY,2,25,50,50
102,103,2023-01-17,CUST103,Female,59,CLOTHING,1,25,25,25
103,104,2023-06-11,CUST104,Female,34,BEAUTY,2,500,1000,1000
104,105,2023-07-25,CUST105,Female,22,ELECTRONICS,1,500,500,500
105,106,2023-05-18,CUST106,Female,46,CLOTHING,1,50,50,50
106,107,2023-02-03,CUST107,Female,21,CLOTHING,4,300,1200,1200
107,108,2023-04-19,CUST108,Female,27,BEAUTY,3,25,75,75
