months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
82,25,iV0433,NY,100/300,1000,820.4,0,13935,MALE,PhD,Engineer,Sports,Married,317.83,468.48,2021-06-02,Multi-vehicle Collision,Rear Collision,Major Damage,Other,CA,New Roberttown,"908 Jennifer Squares, Robinsonshire, AL 21427",14,3,NO,0,1,,21708.11,4529.13,3622.05,11570.66,Toyota,Model A,2012,Y
46,40,Wv5423,IL,500/1000,500,1256.76,2000000,13897,MALE,Master,Engineer,Sports,Married,8294.05,3092.6,2024-01-26,Parked Car,Side Collision,Minor Damage,Police,CA,South Colinstad,"781 Miller Hill, Barbaraland, TN 30372",9,1,YES,0,3,NO,23217.1,12594.6,2858.48,5651.43,BMW,Model A,2019,Y
69,64,rD1316,CA,250/500,1000,941.51,2000000,83821,MALE,Bachelor,Engineer,Gaming,Single,8050.46,2005.82,2022-12-08,Single Vehicle Collision,Side Collision,Total Loss,Fire,FL,Franciscostad,"192 Frank Light Suite 835, East Lydiamouth, KY 09176",12,3,NO,0,2,YES,13084.75,8639.84,4309.75,8976.5,Chevrolet,Model D,2011,Y
18,50,zP9537,FL,250/500,500,1374.99,0,60643,MALE,Master,Clerk,Reading,Married,3816.19,4980.61,2022-04-08,Parked Car,Rear Collision,Minor Damage,Ambulance,TX,West Donald,"969 Cox Dam Suite 101, Lake Ernest, NE 78673",3,2,NO,0,3,YES,47736.98,13199.87,4319.14,7758.5,Ford,Model A,2020,N
108,58,Hq6697,IL,100/300,500,737.56,0,73013,MALE,PhD,Lawyer,Cooking,Single,1118.68,1814.9,2021-01-05,Parked Car,Side Collision,Minor Damage,Fire,IL,Lake Jenniferside,"46270 Stanton Track Apt. 814, East Nathaniel, ND 70015",2,1,,1,0,,38525.89,2361.68,7391.59,8472.15,BMW,Model D,2006,Y
92,37,hx9570,FL,100/300,2000,936.08,2000000,40807,FEMALE,High School,Doctor,Gaming,Single,3380.86,2941.54,2020-06-23,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,North John,"71822 Arroyo Expressway, Allisonchester, ND 99495",7,1,YES,1,0,,12662.23,10200.18,3606.43,2418.52,Chevrolet,Model D,2007,N
104,44,HC4657,CA,250/500,500,1193.08,1000000,16361,FEMALE,Master,Manager,Reading,Divorced,6534.55,3230.9,2022-03-08,Single Vehicle Collision,No Collision,Total Loss,Police,CA,East Caleb,"301 Jeremy Bypass, Chadbury, TN 64125",6,1,,1,1,NO,9990.91,7208.11,13180.05,1593.08,Chevrolet,Model A,2001,Y
12,66,Ep8299,CA,250/500,1000,1037.08,0,62494,FEMALE,High School,Doctor,Cooking,Single,9853.09,1326.02,2022-04-18,Vehicle Theft,Front Collision,Trivial Damage,Other,CA,Leeville,"6701 Richard Junction Apt. 333, Taylorburgh, NH 33243",6,2,YES,0,0,,16366.64,1227.06,7413.43,13831.11,Chevrolet,Model B,2001,Y
109,29,PI7810,NY,100/300,500,1207.69,0,02435,FEMALE,High School,Clerk,Gaming,Divorced,5945.19,3096.91,2021-02-11,Vehicle Theft,Front Collision,Total Loss,Fire,TX,Port Melindaburgh,"60260 Baker Tunnel Suite 468, Mooreport, AR 76415",7,2,NO,0,2,NO,16492.68,11402.04,1551.88,7145.14,Chevrolet,Model A,2002,Y
65,34,LE0500,CA,500/1000,500,1391.34,1000000,66410,FEMALE,Associate,Manager,Sports,Divorced,3025.17,4919.27,2025-01-31,Single Vehicle Collision,Front Collision,Minor Damage,Fire,TX,North Susan,"91361 Beth Canyon, South Dianeshire, MD 34680",3,1,,2,1,NO,14806.06,3554.13,5471.76,10468.71,BMW,Model D,2008,Y
12,58,iQ5346,FL,500/1000,500,603.19,0,85108,FEMALE,Associate,Manager,Sports,Divorced,4276.87,48.35,2022-03-18,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,IL,Stephenland,"83842 Ibarra Gardens, Justinmouth, ND 92715",17,1,NO,0,0,NO,18867.92,14029.78,14596.85,1078.48,BMW,Model B,2021,Y
