customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,0,No,No,16,Yes,No,DSL,108.22,1724.13,No
CUST00002,Female,0,No,Yes,57,No,No,DSL,73.26,4169.46,Yes
CUST00003,Male,0,Yes,Yes,57,No,No,Fiber optic,79.43,4536.19,No
CUST00004,Male,1,Yes,No,56,Yes,No,Fiber optic,119.01,6657.85,Yes
CUST00005,Male,0,No,No,6,Yes,No,DSL,118.5,715.47,No
CUST00006,Female,0,No,No,38,Yes,No,Fiber optic,78.63,2981.63,No
CUST00007,Male,1,Yes,No,57,Yes,No,DSL,23.4,1343.31,No
CUST00008,Male,0,Yes,No,55,No,No,Fiber optic,59.61,3275.88,No
CUST00009,Male,0,No,Yes,14,Yes,No,No,113.73,1590.46,Yes
CUST00010,Female,1,No,No,43,Yes,Yes,Fiber optic,48.83,2097.78,No
CUST00011,Male,0,No,No,11,Yes,No,DSL,119.93,1325.56,No
CUST00012,Male,1,No,No,7,Yes,Yes,No,28.43,193.38,No
CUST00013,Male,0,Yes,Yes,40,Yes,No,Fiber optic,76.81,3079.02,No
CUST00014,Male,0,Yes,No,33,Yes,Yes,No,71.54,2363.96,No
CUST00015,Female,0,No,No,45,No,No,Fiber optic,45.54,2043.71,Yes
CUST00016,Male,1,No,No,28,No,No,No,114.86,3207.39,No
CUST00017,Female,0,Yes,No,15,Yes,Yes,No,81.92,1234.3,No
CUST00018,Female,0,Yes,No,4,Yes,No,Fiber optic,43.02,166.46,Yes
CUST00019,Female,0,No,No,4,Yes,No,DSL,58.4,241.38,Yes
CUST00020,Male,0,Yes,No,29,Yes,No,Fiber optic,92.12,2664.08,No
CUST00021,Female,0,Yes,Yes,49,Yes,Yes,Fiber optic,49.77,2441.06,No
CUST00022,Male,0,No,No,4,Yes,No,Fiber optic,107.96,435.68,No
CUST00023,Female,0,No,No,12,Yes,No,DSL,36.57,441.99,Yes
CUST00024,Female,0,No,No,48,Yes,No,Fiber optic,46.45,2225.92,No
CUST00025,Female,0,Yes,Yes,49,Yes,No,Fiber optic,34.49,1697.52,No
CUST00026,Female,0,No,No,13,Yes,No,No,30.42,400.86,No
CUST00027,Female,0,No,Yes,45,Yes,No,Fiber optic,50.03,2251.55,Yes
CUST00028,Female,1,No,Yes,33,Yes,No,DSL,119.92,3959.43,No
CUST00029,Female,0,No,No,70,Yes,Yes,DSL,29.43,2061.43,No
CUST00030,Female,1,Yes,Yes,46,Yes,No,DSL,41.3,1908.73,No
CUST00031,Male,0,Yes,Yes,59,Yes,Yes,DSL,47.16,2790.37,No
CUST00032,Male,0,Yes,No,10,Yes,No,DSL,81.91,813.81,No
CUST00033,Female,0,Yes,Yes,49,Yes,No,Fiber optic,94.53,4627.23,Yes
CUST00034,Female,0,No,No,3,Yes,No,No,95.19,295.2,No
CUST00035,Female,0,No,Yes,40,Yes,Yes,DSL,20.86,829.13,No
CUST00036,Male,0,No,No,58,Yes,No,Fiber optic,85.19,4950.09,No
CUST00037,Female,0,No,No,59,No,No,Fiber optic,83.07,4904.13,Yes
CUST00038,Male,0,Yes,No,61,Yes,No,No,71.77,4368.97,No
CUST00039,Male,0,Yes,Yes,24,Yes,No,No,57.92,1386.79,No
CUST00040,Male,0,Yes,Yes,32,No,No,DSL,99.74,3191.2,No
CUST00041,Male,0,Yes,Yes,18,Yes,No,DSL,54.39,985.68,Yes
CUST00042,Male,0,Yes,No,56,Yes,No,DSL,43.0,2404.57,Yes
CUST00043,Female,0,No,No,14,Yes,No,Fiber optic,51.01,710.35,No
CUST00044,Female,0,No,Yes,40,Yes,No,Fiber optic,63.96,2566.81,Yes
CUST00045,Female,0,Yes,Yes,68,Yes,No,DSL,41.41,2807.46,No
CUST00046,Female,0,Yes,Yes,59,Yes,No,No,80.76,4765.87,No
CUST00047,Female,0,No,No,21,Yes,No,Fiber optic,108.42,2276.9,No
CUST00048,Male,0,Yes,No,42,No,No,No,79.55,3332.25,Yes
CUST00049,Female,0,No,No,31,Yes,No,DSL,64.67,1996.53,No
CUST00050,Female,0,No,No,12,Yes,No,DSL,99.69,1193.92,Yes
CUST00051,Male,0,No,No,37,Yes,No,DSL,94.8,3500.28,Yes
CUST00052,Female,0,Yes,Yes,25,Yes,No,DSL,56.71,1417.31,Yes
CUST00053,Male,0,No,Yes,4,Yes,No,Fiber optic,80.42,323.86,Yes
CUST00054,Female,1,Yes,No,48,Yes,Yes,DSL,92.98,4466.87,No
CUST00055,Male,0,No,No,4,Yes,No,Fiber optic,44.55,179.13,No
CUST00056,Female,1,Yes,No,70,Yes,No,DSL,56.63,3961.69,No
CUST00057,Female,0,Yes,No,47,Yes,Yes,DSL,30.58,1429.86,No
CUST00058,Male,0,No,No,17,Yes,No,No,118.77,2014.04,No
CUST00059,Male,0,No,No,5,No,No,No,28.59,141.34,No
CUST00060,Male,0,No,No,65,Yes,No,Fiber optic,36.86,2404.38,Yes
CUST00061,Male,0,No,No,41,Yes,Yes,No,67.98,2781.23,Yes
CUST00062,Male,0,No,Yes,51,Yes,No,Fiber optic,106.53,5431.3,Yes
CUST00063,Male,0,Yes,No,10,No,No,Fiber optic,55.59,560.55,No
CUST00064,Male,0,No,No,25,No,No,No,96.86,2425.6,No
CUST00065,Male,0,No,No,20,Yes,No,DSL,87.6,1761.31,No
CUST00066,Female,0,No,No,65,Yes,No,DSL,83.87,5445.37,Yes
CUST00067,Female,0,No,No,39,Yes,No,Fiber optic,104.5,4065.83,No
CUST00068,Male,0,Yes,Yes,55,Yes,No,DSL,21.42,1174.55,No
CUST00069,Female,0,No,No,50,Yes,No,DSL,112.92,5638.99,No
CUST00070,Female,1,Yes,Yes,19,Yes,No,DSL,102.92,1956.45,Yes
CUST00071,Female,0,Yes,No,56,Yes,No,Fiber optic,113.79,6380.22,No
CUST00072,Female,1,No,No,4,Yes,No,Fiber optic,99.36,401.2,No
CUST00073,Male,0,Yes,Yes,13,Yes,No,Fiber optic,107.86,1394.9,No
CUST00074,Female,0,No,Yes,23,Yes,No,No,40.31,919.45,No
CUST00075,Male,0,Yes,No,67,Yes,No,Fiber optic,51.92,3486.87,No
CUST00076,Female,0,Yes,No,51,Yes,Yes,Fiber optic,51.52,2627.27,Yes
CUST00077,Female,1,No,Yes,47,Yes,No,No,30.92,1461.71,Yes
CUST00078,Female,0,No,No,46,Yes,No,No,92.96,4280.88,No
CUST00079,Male,0,No,No,59,Yes,No,Fiber optic,33.62,1993.45,No
CUST00080,Female,0,No,Yes,2,Yes,No,Fiber optic,25.25,57.92,No
CUST00081,Male,0,No,No,8,Yes,Yes,Fiber optic,97.54,778.6,No
CUST00082,Female,1,Yes,No,23,Yes,No,Fiber optic,110.47,2545.97,Yes
CUST00083,Male,0,Yes,No,3,No,No,DSL,96.41,288.65,No
CUST00084,Female,0,Yes,No,8,Yes,No,Fiber optic,102.54,814.98,Yes
CUST00085,Male,0,No,Yes,0,Yes,Yes,DSL,79.56,-5.18,No
CUST00086,Male,0,No,Yes,34,Yes,Yes,DSL,108.77,3696.13,No
CUST00087,Female,0,Yes,Yes,11,No,No,Fiber optic,69.67,758.6,No
CUST00088,Male,0,No,No,17,Yes,No,No,118.83,2013.67,No
CUST00089,Female,0,No,No,9,Yes,No,DSL,30.34,273.07,No
CUST00090,Female,0,Yes,No,17,Yes,No,DSL,100.92,1724.72,No
CUST00091,Female,0,Yes,No,23,Yes,No,Fiber optic,84.14,1936.77,No
CUST00092,Female,0,No,No,0,Yes,No,Fiber optic,78.06,-1.83,Yes
CUST00093,Female,0,No,No,71,Yes,No,DSL,92.58,6568.03,No
CUST00094,Female,0,No,No,15,Yes,No,DSL,104.03,1554.37,No
CUST00095,Female,0,Yes,Yes,14,Yes,No,Fiber optic,106.29,1491.23,No
CUST00096,Female,0,No,Yes,61,Yes,No,No,37.54,2296.91,No
CUST00097,Female,0,Yes,No,4,Yes,No,DSL,39.7,156.78,No
CUST00098,Female,0,Yes,No,44,No,No,DSL,21.62,952.29,Yes
CUST00099,Female,0,No,No,51,Yes,No,Fiber optic,33.18,1696.31,No
CUST00100,Male,0,Yes,No,70,Yes,No,DSL,46.39,3238.47,Yes
CUST00101,Male,0,No,Yes,6,Yes,No,DSL,92.1,549.62,No
CUST00102,Female,0,Yes,No,26,Yes,No,Fiber optic,67.58,1761.68,No
CUST00103,Female,0,No,No,12,Yes,No,No,95.79,1153.17,Yes
CUST00104,Female,0,No,No,16,Yes,No,DSL,68.65,1089.47,No
CUST00105,Female,0,Yes,No,43,Yes,No,Fiber optic,75.56,3243.84,No
CUST00106,Female,0,No,No,12,Yes,No,DSL,31.11,376.92,No
CUST00107,Female,0,Yes,No,4,Yes,Yes,No,97.66,386.07,No
CUST00108,Female,0,No,No,32,Yes,No,DSL,95.81,3072.21,No
CUST00109,Female,0,Yes,No,3,Yes,No,Fiber optic,50.76,142.87,No
CUST00110,Male,0,Yes,No,25,Yes,No,No,52.86,1315.31,No
CUST00111,Female,0,Yes,Yes,67,Yes,No,No,41.97,2807.62,No
CUST00112,Male,0,Yes,Yes,15,Yes,No,Fiber optic,101.38,1529.21,No
CUST00113,Female,0,No,Yes,21,Yes,No,DSL,94.7,1994.63,No
CUST00114,Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,80.91,2839.53,No
CUST00115,Male,0,Yes,No,57,Yes,No,DSL,43.88,2499.97,Yes
CUST00116,Female,0,Yes,No,54,Yes,No,Fiber optic,37.19,2014.71,Yes
CUST00117,Male,0,Yes,Yes,34,No,No,Fiber optic,25.03,858.09,No
CUST00118,Female,0,No,Yes,24,Yes,No,No,24.56,587.44,No
CUST00119,Female,0,No,Yes,71,Yes,No,Fiber optic,38.71,2758.3,Yes
CUST00120,Male,0,Yes,No,60,Yes,No,Fiber optic,30.05,1810.02,No
CUST00121,Female,0,No,No,17,Yes,No,No,75.61,1294.85,No
CUST00122,Male,1,No,No,57,Yes,No,No,55.81,3188.5,No
CUST00123,Female,0,Yes,No,56,Yes,No,Fiber optic,64.49,3616.96,Yes
CUST00124,Male,1,No,Yes,62,Yes,Yes,Fiber optic,79.41,4932.3,Yes
CUST00125,Male,0,No,No,11,Yes,No,Fiber optic,85.91,943.41,Yes
CUST00126,Female,1,No,Yes,10,Yes,No,DSL,84.82,853.87,No
CUST00127,Female,0,No,No,12,Yes,No,DSL,46.09,547.34,No
CUST00128,Male,0,Yes,No,34,Yes,No,Fiber optic,100.96,3437.3,No
CUST00129,Female,0,No,No,26,Yes,No,DSL,111.77,2911.73,Yes
CUST00130,Female,0,No,No,66,Yes,Yes,Fiber optic,51.59,3409.27,No
CUST00131,Female,0,Yes,No,44,Yes,No,Fiber optic,21.71,962.24,Yes
CUST00132,Male,0,No,Yes,66,Yes,No,Fiber optic,109.92,7252.99,Yes
CUST00133,Male,0,Yes,Yes,21,Yes,No,DSL,112.35,2360.25,No
CUST00134,Male,0,No,No,41,Yes,No,DSL,25.09,1018.9,Yes
CUST00135,Male,0,No,No,19,Yes,No,DSL,20.5,382.42,No
CUST00136,Male,0,Yes,Yes,47,Yes,No,DSL,101.64,4779.96,Yes
CUST00137,Male,1,Yes,No,17,Yes,No,No,50.15,853.8,Yes
CUST00138,Male,0,No,No,69,Yes,No,DSL,111.46,7684.69,No
CUST00139,Male,1,Yes,No,5,Yes,No,DSL,41.67,203.22,Yes
CUST00140,Male,0,Yes,No,38,Yes,No,DSL,106.12,4029.44,Yes
CUST00141,Female,0,Yes,No,10,No,No,Fiber optic,26.86,272.93,No
CUST00142,Male,0,Yes,No,24,Yes,No,Fiber optic,46.06,1107.63,No
CUST00143,Female,0,Yes,No,54,Yes,No,DSL,117.31,6326.13,No
CUST00144,Female,0,Yes,No,57,No,No,No,43.12,2463.04,No
CUST00145,Female,0,Yes,No,36,No,No,No,33.3,1194.05,No
CUST00146,Male,0,No,No,15,Yes,No,DSL,105.71,1589.09,No
CUST00147,Male,1,No,Yes,69,Yes,No,Fiber optic,31.78,2185.29,No
CUST00148,Male,0,Yes,Yes,36,No,No,Fiber optic,29.75,1080.96,No
CUST00149,Male,0,Yes,No,52,Yes,No,DSL,52.34,2713.29,Yes
CUST00150,Female,0,No,No,15,Yes,No,No,83.53,1257.78,No
CUST00151,Male,0,Yes,No,17,Yes,Yes,DSL,91.07,1549.02,No
CUST00152,Male,0,Yes,Yes,18,No,No,Fiber optic,108.12,1937.88,No
CUST00153,Male,0,Yes,Yes,43,Yes,No,Fiber optic,74.09,3176.41,No
CUST00154,Male,0,No,No,1,Yes,No,Fiber optic,59.34,56.59,Yes
CUST00155,Male,0,No,Yes,57,Yes,No,No,55.88,3191.2,No
CUST00156,Female,0,No,Yes,9,Yes,No,DSL,104.69,933.03,Yes
CUST00157,Male,0,No,No,45,No,No,DSL,92.38,4161.19,No
CUST00158,Female,1,No,Yes,18,Yes,No,Fiber optic,110.54,1992.83,Yes
CUST00159,Male,0,Yes,No,37,Yes,No,DSL,116.4,4302.11,No
CUST00160,Female,0,No,No,36,Yes,No,DSL,50.01,1791.91,No
CUST00161,Male,0,Yes,Yes,44,Yes,No,Fiber optic,72.97,3218.99,No
CUST00162,Male,1,No,No,33,Yes,No,DSL,83.18,2740.95,No
CUST00163,Female,0,No,No,1,Yes,No,DSL,36.38,28.61,Yes
CUST00164,Female,0,No,No,43,Yes,No,DSL,25.33,1092.82,Yes
CUST00165,Female,0,Yes,No,26,Yes,No,DSL,106.78,2770.61,No
CUST00166,Male,0,Yes,No,47,Yes,No,Fiber optic,73.55,3456.36,No
CUST00167,Female,0,No,No,6,Yes,No,DSL,77.08,453.49,No
CUST00168,Male,0,No,No,26,Yes,No,No,75.49,1972.6,Yes
CUST00169,Male,0,No,No,70,No,No,DSL,95.5,6683.95,No
CUST00170,Female,0,Yes,Yes,17,Yes,No,Fiber optic,34.55,597.33,Yes
