transaction_id,customer_id,date,amount,category
1,1572,15-12-2024,866.09,Dining
2,1783,22-05-2025,3305.14,Travel
3,1427,20-02-2025,167.25,Healthcare
4,1621,19-09-2024,2700.5,Healthcare
5,1611,14-07-2024,4505.53,Dining
6,1810,13-02-2025,4581.85,Electronics
7,1634,06-01-2025,1440.66,Groceries
8,1232,06-11-2024,824,Electronics
9,1795,19-08-2024,967,Dining
10,1536,31-10-2024,4708.5,Healthcare
11,1390,18-05-2025,1213.07,Utilities
12,1462,04-11-2024,3940.03,Travel
13,1931,30-10-2024,1082.3,Utilities
14,1454,20-08-2024,2948.99,Electronics
15,1305,29-11-2024,1152.78,Electronics
16,1881,26-06-2024,1403.22,Healthcare
17,1603,19-09-2024,117.68,Healthcare
18,1440,26-11-2024,2008.67,Healthcare
19,1313,06-12-2024,3543.3,Travel
20,1583,19-09-2024,142.51,Electronics
21,1636,04-09-2024,4241.58,Dining
22,1062,30-04-2025,4738.52,Healthcare
23,1625,21-09-2024,2832.16,Healthcare
24,1984,14-01-2025,4871.69,Healthcare
25,1758,02-07-2024,3540.05,Healthcare
26,1102,06-08-2024,3401.85,Dining
27,1971,28-03-2025,16.52,Dining
28,1782,06-03-2025,3061.8,Dining
29,1213,23-02-2025,3273.56,Healthcare
30,1641,16-07-2024,957.69,Utilities
31,1217,12-07-2024,2191.04,Dining
32,1271,23-02-2025,4400.37,Groceries
33,1677,20-10-2024,1618.98,Healthcare
34,1084,18-04-2025,707.17,Electronics
35,1161,05-01-2025,1531.08,Healthcare
36,1246,16-11-2024,687.02,Utilities
37,1178,29-03-2025,1721.45,Electronics
38,1566,24-01-2025,2414.56,Electronics
39,1077,05-09-2024,4174.05,Electronics
40,1161,09-01-2025,169.87,Groceries
41,1003,02-07-2024,1915.79,Utilities
42,1419,01-05-2025,4701.33,Dining
43,1462,06-11-2024,1272.77,Groceries
44,1706,22-04-2025,4429.48,Travel
45,1609,28-12-2024,2780.65,Utilities
46,1482,18-11-2024,1439.91,Groceries
47,1299,02-01-2025,2396.99,Travel
48,1034,02-03-2025,4735.67,Dining
49,1238,11-05-2025,1230.82,Utilities
50,1296,07-06-2025,586.66,Utilities
51,1724,10-12-2024,2895.39,Electronics
52,1290,17-01-2025,3768.45,Healthcare
53,1720,17-05-2025,3998.79,Dining
54,1881,08-09-2024,3917.6,Healthcare
55,1465,10-12-2024,1283.35,Healthcare
56,1073,03-10-2024,1813.74,Electronics
57,1704,09-07-2024,4815.61,Travel
58,1240,09-11-2024,4523.05,Dining
59,1947,25-05-2025,2649.39,Electronics
60,1271,06-05-2025,37.27,Groceries
61,1807,13-03-2025,1241.67,Utilities
62,1811,22-06-2024,2223.11,Dining
63,1641,20-12-2024,3801.86,Dining
64,1604,16-01-2025,1516.9,Utilities
65,1678,24-05-2025,664.4,Dining
66,1824,26-12-2024,1668.44,Electronics
67,1957,15-04-2025,154.17,Utilities
68,1203,16-01-2025,2787.87,Travel
69,1436,27-02-2025,4854.78,Travel
70,1118,04-02-2025,2124.26,Dining
71,1558,05-08-2024,2652.52,Healthcare
72,1231,25-07-2024,4803.12,Healthcare
73,1664,30-03-2025,2724.06,Electronics
74,1153,30-11-2024,141.93,Healthcare
75,1931,15-08-2024,906.23,Utilities
76,1273,12-08-2024,1147.28,Dining
77,1847,30-08-2024,2952.51,Healthcare
78,1146,18-04-2025,654.66,Utilities
79,1074,22-08-2024,616.1,Dining
80,1062,28-07-2024,4439.13,Electronics
81,1170,25-06-2024,4585.68,Groceries
82,1812,20-11-2024,175.74,Groceries
