trade_id,timestamp,instrument,price,quantity,buyer_id,seller_id
2024_T00206,2024-01-01 06:11:24.381926,GOOGL,1361.37,237,B0012,S0076
2024_T00262,2024-01-01 21:56:38.328923,AMZN,1429.58,792,B0023,S0092
2024_T00170,2024-01-02 00:44:20.705915,TSLA,376.55,798,B0036,S0060
2024_T00413,2024-01-02 02:41:00.602480,AMZN,1431.13,650,B0017,S0031
2024_T00340,2024-01-03 01:26:26.715090,MSFT,1465.75,167,B0082,S0087
2024_T00329,2024-01-03 21:39:03.435876,TSLA,1164.88,678,B0047,S0046
2024_T00366,2024-01-05 10:58:16.684578,AMZN,630.18,895,B0012,S0031
2024_T00403,2024-01-05 12:44:59.324875,TSLA,526.77,28,B0039,S0096
2024_T00068,2024-01-05 19:39:06.145208,MSFT,1148.64,715,B0031,S0069
2024_T00221,2024-01-05 22:54:19.097893,AMZN,817.67,335,B0082,S0067
2024_T00313,2024-01-06 05:56:09.669720,TSLA,1328.14,301,B0097,S0059
2024_T00346,2024-01-06 09:44:56.040695,AAPL,1214.05,674,B0025,S0029
2024_T00428,2024-01-07 03:09:23.583830,GOOGL,288.11,546,B0054,S0003
2024_T00379,2024-01-09 13:42:27.789554,MSFT,625.88,99,B0083,S0047
2024_T00267,2024-01-09 19:57:05.458608,MSFT,118.6,822,B0092,S0044
2024_T00430,2024-01-09 21:17:47.613827,AAPL,1007.14,800,B0012,S0070
2024_T00424,2024-01-10 10:02:12.364916,AAPL,571.91,531,B0061,S0026
2024_T00106,2024-01-11 05:07:35.562134,GOOGL,1145.62,478,B0010,S0082
2024_T00283,2024-01-11 05:13:36.182154,GOOGL,173.63,121,B0002,S0010
2024_T00265,2024-01-11 07:18:31.996597,AAPL,170.16,499,B0021,S0033
2024_T00368,2024-01-11 17:01:11.626982,TSLA,958.39,856,B0057,S0048
2024_T00195,2024-01-12 01:12:05.837415,TSLA,420.22,138,B0066,S0006
2024_T00282,2024-01-12 21:59:32.842152,GOOGL,1045.12,212,B0023,S0044
2024_T00279,2024-01-13 15:39:18.999035,TSLA,1117.09,314,B0037,S0075
2024_T00386,2024-01-15 02:44:36.760649,MSFT,1051.92,630,B0037,S0058
2024_T00120,2024-01-17 09:13:04.590524,AMZN,814.51,647,B0038,S0043
2024_T00100,2024-01-18 11:06:44.467010,AAPL,1491.11,551,B0032,S0082
2024_T00205,2024-01-18 20:48:22.712197,TSLA,1362.75,963,B0091,S0036
2024_T00202,2024-01-20 15:00:03.140151,MSFT,342.62,571,B0075,S0003
2024_T00415,2024-01-21 03:50:19.063951,MSFT,1103.07,221,B0067,S0005
2024_T00096,2024-01-21 18:00:00.320200,AAPL,860.33,709,B0097,S0001
2024_T00131,2024-01-21 19:48:09.722147,GOOGL,1303.34,252,B0072,S0020
2024_T00016,2024-01-22 23:20:57.152122,AAPL,421.92,962,B0080,S0001
2024_T00133,2024-01-23 14:56:00.053410,MSFT,1331.28,228,B0029,S0047
2024_T00055,2024-01-23 17:28:20.594939,GOOGL,1348.06,916,B0049,S0010
2024_T00459,2024-01-25 01:03:44.460968,GOOGL,1235.85,825,B0050,S0099
2024_T00076,2024-01-26 01:23:51.200597,AAPL,1227.26,840,B0003,S0065
2024_T00443,2024-01-26 15:55:56.210435,GOOGL,591.5,82,B0039,S0015
2024_T00160,2024-01-29 03:19:26.919410,AMZN,740.65,906,B0070,S0027
2024_T00112,2024-01-29 10:41:42.485993,AMZN,1456.49,28,B0006,S0044
2024_T00435,2024-01-29 19:26:49.006828,GOOGL,765.57,187,B0075,S0080
2024_T00118,2024-01-30 02:52:03.395412,AMZN,939.19,757,B0013,S0034
2024_T00333,2024-01-30 06:20:00.545145,AMZN,1371.71,36,B0081,S0067
2024_T00359,2024-01-30 16:05:40.437304,TSLA,281.19,497,B0096,S0065
2024_T00347,2024-01-31 06:50:33.755628,MSFT,1444.63,217,B0024,S0087
2024_T00211,2024-02-01 16:52:24.223712,AMZN,1202.79,428,B0052,S0006
2024_T00235,2024-02-01 18:16:50.336093,AAPL,129.87,339,B0093,S0075
2024_T00422,2024-02-01 22:27:16.226155,GOOGL,1137.67,840,B0023,S0019
2024_T00107,2024-02-02 03:20:33.593748,GOOGL,598.98,291,B0068,S0096
2024_T00003,2024-02-02 03:23:06.911369,AMZN,219.78,117,B0026,S0038
2024_T00308,2024-02-02 03:52:05.272724,AAPL,1255.77,707,B0066,S0024
2024_T00409,2024-02-02 19:15:08.105274,MSFT,653.04,314,B0041,S0079
2024_T00008,2024-02-02 20:07:05.331897,GOOGL,786.5,411,B0018,S0057
2024_T00126,2024-02-02 21:11:46.642281,MSFT,127.28,918,B0097,S0020
2024_T00137,2024-02-03 00:51:19.854101,TSLA,216.39,156,B0023,S0045
2024_T00326,2024-02-03 12:28:02.591880,AMZN,406.11,577,B0005,S0023
2024_T00229,2024-02-04 02:05:08.926526,AMZN,991.89,768,B0063,S0090
2024_T00019,2024-02-04 05:16:07.714211,AAPL,312.43,857,B0048,S0046
2024_T00269,2024-02-05 01:23:23.450076,TSLA,1235.37,745,B0085,S0025
2024_T00179,2024-02-06 14:18:43.846627,AMZN,1497.46,827,B0080,S0085
2024_T00039,2024-02-06 15:57:52.562289,GOOGL,829.17,220,B0029,S0033
2024_T00465,2024-02-06 19:52:12.347719,TSLA,373.6,272,B0023,S0015
2024_T00162,2024-02-07 13:11:12.941927,MSFT,213.61,419,B0032,S0098
2024_T00093,2024-02-07 21:49:56.673454,AAPL,1046.7,232,B0084,S0081
2024_T00370,2024-02-10 10:55:45.304579,GOOGL,445.79,114,B0028,S0037
2024_T00089,2024-02-10 15:25:57.045774,AMZN,881.51,307,B0087,S0083
2024_T00213,2024-02-11 02:37:30.976028,MSFT,599.36,272,B0071,S0060
2024_T00263,2024-02-12 02:56:06.855070,AMZN,826.18,456,B0054,S0071
2024_T00129,2024-02-12 04:57:43.403280,TSLA,1109.49,649,B0091,S0066
2024_T00104,2024-02-12 13:43:13.359662,MSFT,1049.38,839,B0029,S0076
2024_T00375,2024-02-13 02:45:46.657966,AMZN,1403.88,581,B0030,S0079
2024_T00471,2024-02-14 05:09:35.162827,MSFT,268.47,785,B0036,S0077
2024_T00275,2024-02-14 12:59:40.985701,MSFT,1210.73,972,B0012,S0038
2024_T00024,2024-02-15 03:47:23.431238,AMZN,573.93,117,B0093,S0026
2024_T00165,2024-02-15 15:06:20.223431,AAPL,196.48,333,B0057,S0067
2024_T00377,2024-02-15 16:03:36.617145,MSFT,948.44,616,B0040,S0046
2024_T00451,2024-02-16 09:02:12.474780,TSLA,1301.75,597,B0014,S0073
2024_T00491,2024-02-16 16:00:29.331283,TSLA,524.85,403,B0089,S0014
2024_T00222,2024-02-17 20:09:32.741362,MSFT,696.57,209,B0035,S0031
2024_T00270,2024-02-18 20:52:49.564786,GOOGL,611.42,894,B0036,S0093
2024_T00384,2024-02-19 14:53:00.575598,AMZN,1255.84,460,B0044,S0001
2024_T00157,2024-02-20 19:28:42.291459,TSLA,1405.38,66,B0041,S0030
2024_T00485,2024-02-23 05:40:36.602134,AAPL,206.73,244,B0013,S0033
2024_T00216,2024-02-25 14:23:35.584263,AAPL,788.08,366,B0095,S0089
